12634,153.00
12644,238.00
12654,313.00
12664,368.00
12674,412.00
12684,631.00
12694,779.00
12704,870.00
12714,895.00
12724,1003.00
12734,1035.00
12744,1328.00
12754,1238.00
12764,1263.00
12774,1375.00
12784,1413.00
12794,1411.00
12804,1499.00
12814,1533.00
12824,1486.00
12834,1390.00
12844,1356.00
12854,1403.00
12864,1390.00
12874,1298.00
12884,1223.00
12894,1169.00
12904,1277.00
12914,1201.00
12924,1135.00
12934,1191.00
12944,1074.00
12954,1067.00
12964,1030.00
12974,1014.00
12984,1047.00
12994,1037.00
13004,943.00
13014,964.00
13024,942.00
13034,961.00
13044,894.00
13054,825.00
13064,821.00
13074,804.00
13084,704.00
13094,622.00
13104,544.00
13114,481.00
13124,449.00
13134,384.00
13144,339.00
13154,357.00
13164,305.00
13174,272.00
13184,313.00
13194,304.00
13204,287.00
13214,357.00
13224,322.00
13234,358.00
13244,336.00
13254,295.00
13264,365.00
13274,421.00
13284,451.00
13294,457.00
13304,573.00
13314,448.00
13324,509.00
13334,638.00
13344,609.00
13354,928.00
13364,982.00
13374,1104.00
13384,1183.00
13394,1406.00
13404,1378.00
13414,1367.00
13424,1392.00
13434,1369.00
13444,1279.00
13454,1230.00
13464,1213.00
13474,1203.00
13484,1132.00
13494,1297.00
13504,1239.00
13514,1126.00
13524,1168.00
13534,1163.00
13544,1171.00
13554,1093.00
13564,1008.00
13574,1023.00
13584,1090.00
13594,1086.00
13604,1089.00
13614,1008.00
13624,942.00
13634,912.00
13644,870.00
13654,875.00
13664,848.00
13674,803.00
13684,894.00
13694,867.00
13704,818.00
13714,794.00
13724,810.00
13734,737.00
13744,719.00
13754,654.00
13764,592.00
13774,570.00
13784,578.00
13794,615.00
13804,613.00
13814,561.00
13824,530.00
13834,506.00
13844,557.00
13854,550.00
13864,603.00
13874,715.00
13884,658.00
13894,592.00
13904,547.00
13914,475.00
13924,487.00
13934,533.00
13944,508.00
13954,496.00
13964,558.00
13974,520.00
13984,623.00
13994,481.00
14004,473.00
14014,454.00
14024,496.00
14034,399.00
14044,485.00
14054,443.00
14064,432.00
14074,454.00
14084,460.00
14094,447.00
14104,446.00
14114,389.00
14124,374.00
14134,385.00
14144,366.00
14154,359.00
14164,390.00
14174,320.00
14184,304.00
14194,331.00
14204,319.00
14214,304.00
14224,349.00
14234,368.00
14244,416.00
14254,398.00
14264,400.00
14274,394.00
14284,384.00
14294,387.00
14304,354.00
14314,421.00
14324,409.00
14334,384.00
14344,395.00
14354,390.00
14364,371.00
14374,354.00
14384,350.00
14394,382.00
14404,391.00
14414,336.00
14424,384.00
14434,367.00
14444,400.00
14454,364.00
14464,369.00
14474,385.00
14484,375.00
14494,351.00
14504,334.00
14514,292.00
14524,354.00
14534,334.00
14544,362.00
14554,340.00
14564,400.00
14574,330.00
14584,304.00
14594,351.00
14604,366.00
14614,290.00
14624,401.00
14634,245.00
14644,322.00
14654,317.00
14664,343.00
14674,266.00
14684,274.00
14694,276.00
14704,270.00
14714,247.00
14724,267.00
14734,309.00
14744,287.00
14754,287.00
14764,253.00
14774,279.00
14784,272.00
14794,285.00
14804,274.00
14814,255.00
14824,214.00
14834,227.00
14844,230.00
14854,201.00
14864,193.00
14874,215.00
14884,266.00
14894,326.00
14904,343.00
14914,347.00
14924,335.00
14934,237.00
14944,341.00
14954,323.00
14964,304.00
14974,289.00
14984,256.00
14994,263.00
15004,274.00
15014,281.00
15024,274.00
15034,256.00
15044,292.00
15054,282.00
15064,272.00
15074,285.00
15084,304.00
15094,354.00
15104,311.00
15114,290.00
15124,260.00
15134,240.00
15144,238.00
15154,227.00
15164,272.00
15174,291.00
15184,254.00
15194,368.00
15204,272.00
15214,366.00
15224,375.00
15234,307.00
15244,259.00
15254,298.00
15264,315.00
15274,371.00
15284,337.00
15294,302.00
15304,289.00
15314,265.00
15324,231.00
15334,275.00
15344,271.00
15354,286.00
15364,279.00
15374,275.00
15384,302.00
15394,304.00
15404,312.00
15414,318.00
15424,371.00
15434,336.00
15444,331.00
15454,304.00
15464,272.00
15474,253.00
15484,235.00
15494,214.00
15504,249.00
15514,227.00
15524,288.00
15534,279.00
15544,265.00
15554,251.00
15564,249.00
15574,221.00
15584,222.00
15594,263.00
15604,285.00
15614,272.00
15624,247.00
